,title,chords,lyric,views,difficulty
0,400 Years,"{'Bb', 'D7', 'Gm', 'D', 'Cm'}","[Intro] Gm

Gm      Gm       Gm
400 years (400 years, 400 years ooh-ooh)
Cm        Cm       Cm           Gm
And it's the same, the same (ooh-ooh) philosophy
Gm         Gm        Gm         Gm
I've said it's 400 years (400 years, 400 years ooh-ooh)
Gm      Gm
Look, how long (ooh-ooh)
Cm       Cm       Cm          Gm
And the people they (ooh-ooh) still can't see
Gm       Bb         Bb           Cm          D   D7
Why do they fight against (fight against) the poor youth of today?
Bb       Bb                 Cm
And without these youths, they would be gone
      D     D7
All gone astray
       Gm          Gm           Gm
Come on, let's make a move (make a move, make a move ooh-ooh)
Cm           Cm                Gm
I can (ooh-ooh) see time (ooh-ooh) time has come
Gm          Gm                   Gm
And if-a fools don't see (fools don't see, fools don't see) (ooh-ooh)
Cm         Cm
I can't save the youth
Cm                  Gm
The youth (ooh-ooh) is gonna be strong
Gm            Bb
So, won't you come with me
Cm             Cm         D     D7
I'll take you to a land of liberty
Bb      Bb
Where we can live
Bb       Cm      Cm      D    D7
Live a good, good life and be free
Gm         Gm
Look how long, 400 years, (400 years, 400 years)
Gm        Gm
Way too long (ooh-ooh)
Cm               Cm         Gm
And the people (ooh-ooh) my people can't see
Gm             Gm            Gm
Said, it's 400 long years (400 years, 400 years ooh-ooh)
Cm          Cm          Gm
Give me patience (ooh-ooh) same philosophy
Gm           Gm
It's been 400 years, (400 years, 400 years)
Gm          Cm
Wait so long (ooh-ooh)
Cm    Cm     Gm
Look, how long

Gm          Gm
400 long, long years (ooh-ooh)
Gm     Cm         Gm
People hiding from reality
Gm
400 years",77684,Básico
1,Acoustic Medley,"{'Bm', 'C#', 'F', 'Em', 'C', 'D', 'Am', 'G'}","G              C         D
Baby, i really, really love you now
G                 Em
I think you should stop your cryin'
C                               D
Here my kerchief to dry your eyes
C                  D
You know that i love you, yea-eah-eah
G    Em   C     Em
Groovy; here i am
             C                    Bm
Come rub it 'pon me belly
            Am     G
Like a guava jelly
G    Em   C     Em
Damsel, here i stand
        C             Bm
Come rub it 'pon me belly
             Am G
Like-a guava jelly
G   C   G  Am  G

G          C
This train - mm - mm - mm
G             C              G
This train is bound to glory - this train
        C         G                                G
Talkin' 'bout ma: this train is bound to glory - this train
G                Em
This train is bound to glory
C
This train carry no un'oly
G                  C              G
This train - i'm a-talkin' 'bout: this train
G               C
When i was just a kid
       G                             C
My mommy used to sing this song
          Em             D
Now i've grown to be a man
           C                      Bm
Well, it still lingers deep down in my soul
        C           Em            D
I said, it still lingers deep down in my soul
C                   G          C                           G  C  G  C  G
I'm talkin' 'bout: this train is bound to glory - this train
   G                                 G
This train is bound to glory - this train
G                Em
This train is bound to glory
C
O dis 'ere train carry no un'oly
G               D               G       D
This train - i'm a-talkin' 'bout: this train

( G C G )

       G             C            G        C
The stone that the builder refuse
            G          C        G       C
Will always be the head cornerstone-a
       G        C              G           C
The stone that the builder refuse
            G          C                G
Will always be the head cornerstone

D               G
You're a builder, baby
C               G
Here i am, a stone
D               G
Don't you pick and refuse me
G                       C
'cause the things people refuse
            G                C
Are the things they should choose
      Em         D
Do you 'ear me? hear what i say!

G               C       G       C
Stone that the builder refuse
     G        C         G       C
Will always be the head cornerstone-a
          G                 C         G        C
The stone that the builder refuse, yeah!
    G         C         G       C
Will always be the head cornerstone

D                  G
You're a builder, baby
C                  G
Wo, here i am, a stone!
D                      G
Don't you pick and refuse me
G                       C
'cause the t'ings people refuse
G                       C
Are the things they should use
G                       C
The things people refuse
G                       C
Are the things they should use
Em              D
Do you 'ear me? hear what i say!

G               C       G       C
Stone dat them builder refuse
    G         C         G       C
Will always be the head cornerstone-a
          G                  C         G            C
The stone that dem builder refuse
     G        C         Bm     D     C#     C     C     Bm
Will always be the head cornerstone

G               C
Comma, comma, come back here
G              C
My-y young lady
G               C
Comma, comma, come back here to me
G              C
My-y young lady, yeah!
G              C
Jus' while i thought
G               C               G
Everything was running smooth
C
She left me
G          C
While i was in the mood
G         C
Now i'm callin' to you
G       C
But my world is relying for you to

G               C
Comma, comma, come back here
G             C
My-y young lady, yeah
G               C
Comma, comma, come back here to me
G             C
My-y young lady!
G               C
Jus' while i thought
G               C
Everything was running smooth
G               C
You know i love you
Oh now i love you.

E|-------------------------|
D|-------------------------|
G|-------------------------|
D|-------------------------|
A|--2--5--7--8h7--5--2-----|
E|----------------------3--|

G
Mm-mm-hm
G                       Em
I've been searchin' the whole darn day
Am                     G
For a little woman of mine - mine - mine - mine
G                          Em
Someone a-told me i could find her here
         Am           G
But it seem she disappear
G                       Em
Said, i searched the whole darn day
Am              G
Night is drawing nigh
G            Em
I t'ink i'd better go home
Am              G
Try tomorrow again

G                       Em
But when i reached that railroad station
Am              G
I missed the last train
      C         Em
And then it seemed like dewdrops
C               Em
Gonna fall on me
   C               Em
Yes, it seem like teardrops
Am         D     G
Gonna call on me now

G                       Em
I said, i'd better make up my mind
Am              G
What am i gonna do
G               Em
Am i gonna rest up here
C                 D     G
Or am i gonna push on through?

G                       Em
My mind say, ""hey, man, ya hit the road
Am                      G
Down there i missed the track - track - track
G       Em
I'm lost! lord, i'm lost, eh!
C              D                 G
Love is such a heavy load!

        C                      G
And then: for crying out loud, come back to me!
        C                    G
For crying out loud, hear my plea!
        C                    G   Em
For crying out loud, come back to me!
 Em      Am             Em     G Em
Why do you treat me so bad?
Em        Am            Em  G Em
Why do you treat me so bad?
Em                 Em
Mm - mm - mm - mm - bam, bam.
C               G
Bom, bom, bome, bome

G       C
Let's stir it up!
G         C     D
Stir it up, little darlin'
G
Stir it up. yaga, yaga.
C       D               G
Little darlin', stir it up. mm
C       D
Little darlin'

G
It's been a long, long time
C          D             G              C       D
Since i've got you on my mind, o-oh
G              Em
Now you are here
C       Em
It's so clear
G                 Em
See what we could do
C       D
Just you and me, yea-eah!

G
Let's stir it up!
C       D       G
Little darlin', stir it up!
Oh, come on, woman!
C       D               G
Little darlin', come on! stir it up
C       D
Little darlin'

G              C           G        C
I'll push the wood, blaze the fire
G       C        G               C
Satisfy your heart desire
G       C       G         C
I'll a-stir it, yeah - every minute, yeah!
G              C                G       C
All you got to do, honey, keep it in it

G                 C
Let's stir it up!
G      C    D    G                C
Little darlin', let's stir it up!
G      C   D    G           C
Little darlin', stir it up!
                G       C       D       G       C       Am  G   F  G
Oh, wo - wo - wo - wo-ah, li'l darlin'. lead up now

Am      G       F
When i was just a little child
Am      G       F
'appiness was there awhile
Am      G       F
Then from me it slipped one day
Am      G       F
'appiness, come back, i say
Am
'cause if you don't come - come
   G
I go looking, yeah!
   F
For 'appiness.
Am
'cause if you don't come - come
G
I go looking now!
F
For 'appiness

Am      G       F
Then together like school children
Am      G       F
Then your hurt was just in vain
Am      G       F
Lord, i'm your weary child
Am      G       F           Am
'appiness, come back. oh, i
Am
'cause if you don't come
G
Gonna go lookin', yeah!
     F
For 'appiness.
Am
And if you don't come
G
Gonna go lookin', yeah!
    F
For 'appiness. like jah said
Am      G       F
I'm a-hurtin' inside
Am      G       F
I'm a-hurtin' inside",100223,Básico
2,Adam And Eve,"{'A', 'G', 'D'}","Intro:  D    G    A    D

D    G    A    D
The lord named Adam and Eve, 
to live a happy life. 
In the garden of Eden, 
but they disobeyed. 

I wanna know, 
why they sin, 
in the garden of Eden. 

It`s a devil mental affair, 
in the shape of a serpent. 

And they broke the fruit of life 
and everyone of us is living in sin. 

Any anywhere you go, 
woman is the root of all evil. 

He was the first one to break a fruit 
and everyone of us is living in sin. 
 
(Por fim, tudo de novo)",21593,Iniciante
3,Africa Unite,"{'E', 'Em', 'C', 'D', 'G'}","[Intro] G  D  Em  C
        G  D  Em  C

G     D    Em
 Africa, Unite
              C           D       Em
'Cause we're moving right out of Babylon
           C       D    Em
And we're going to our father's land

G                    D
  How good and how pleasant it would be
   Em           C
Before God and man, yeah
    G      D              Em     C
To see the unification of all Africans, yeah
G               D      Em           C
  As it's been said already let it be done, yeah
G              D           Em C
  We are the children of the Rastaman
G              D           Em C
  We are the children of the Higher Man

G    D    Em
Africa, Unite
             C       D     Em
'Cause the children wanna come home
G    D    Em
Africa, Unite
              C      D            Em
'Cause we're moving right out of Babylon
            G         D    Em
And we're grooving to our father's land

     G             D          Em
How good and how pleasant it would be
   G    D       Em
Before God and man
    G        D            Em
To see the unification of all Rastaman, yeah
         G           D            Em
As it's been said already let it be done, yeah
G               D   Em
  I tell you who we are under the sun
G             D           Em
 We are the children of the Rastaman
G              D              Em
  We are the children of the Higher Man

   G     D    Em   G    E    Em
So, Africa, Unite, Africa, Unite
  G            D          Em
Unite for the benefit of your people
  G             D          Em
Unite for it's later than you think
  G            D          Em
Unite for the benefit of your people
  G             D          Em
Unite for it's later than you think
G        D          Em      G        D          Em
Africa awaits its creators, Africa awaiting its creators
G        D           Em
Africa, you're my forefather cornerstore
G      D           Em          G      D           Em
Unite for the Africans abroad, unite for the Africans a yard
G     D    Em
 Africa, Unite",185467,Iniciante
4,African Herbman,,"E|-----------------------------------------------------------------------------|
B|-----------------------------------------------------------------------------|
G|-----------------------------------------------------------------------------|
D|-----------0--8--8------------------5--5-------------------------------------|
A|-----5--8------------------2--5--2-------------------------------------------|
E|---6---------------------3---------------------------------------------------|
    PM----------------------------------------------------------------------
",262,Básico
5,African Herbsman,"{'D#', 'A#', 'Gm'}","A#            Gm
All twinklin’ lee
              A#                          Gm
Can’t see the right rose when the streams abate
A#                Gm
The old slave men might grind slow
              D#
But it grinds fine, yeah
African herbsman, why linger on?
Just concentrate, 'cause heaven lives on
Greet-I-eth slave men will look with a scorn
With a transplanted heart ...yes, how quick they had to part
... how quick they had to part
The remembrance of today
Is the sad feelin’ of tomorrow
... how quick ... Oh ... part, oh yeah
African herbsman, seize your time
I’m takin’ illusion on the edge of my mind
I’m takin’ losers down thru my life
Down thru my life, yeah yes, how quick they had to part
... how quick they had to part
Dideh part, yes, they part
In remembrance of today
... how quick they had to part
African herbsman, why linger on?
Just concentrate, 'cause your heaven lives on
Greet-I-eth slave men will look with a scorn
With a transplanted heart, yes, how ... quick they have to part
... how quick they have to part
In remembrance of today
Brings sad feelings of tomorrow
Yes, how quick they have to ... Lead me on, oh, Lord, I pray to you
African herbsman, African herbsman
African, African herbsman ...
",44385,Básico
6,All Day All Night,"{'Am', 'G'}","Am
Said I´ll never gonna give my love to nobody but you babe
I´m never gonna give my love to nobody but you babe
    G
So love Forever 
I say love me Forever 
   Am
Love just not for pleasure ,love always forever 
   G                         Am
cause I love you,it´s couldn´t be better 
  Am 
say I gonna give my love to you babe you got my love
say I gonna give my love to you babe you got my love
 Am
you say you never gonna give your love to nobody but me babe
you say you never gonna give your love to nobody but me babe
G
so love me 
all day and all night
love me All Day and all night 


e assim vai .....",40905,Iniciante
7,All Day And All Night,"{'F', 'Dm', 'Am', 'G', 'E7'}","Intro:

Am, Dm, Am

Am
Said I´ll never gonna give my love to nobody but you babe
I´m never gonna give my love to nobody but you babe

    G         F
So love me Forever

    G           F
I say love me Forever

   E7               F          E7              F
Love me no just for pleasure, love me always forever

   G                         Am
cause I love you, it´s couldn´t be better

  Am
say I gonna give my love to you babe you got my love
say I gonna give my love to you babe you got my love

 Am
you say you never gonna give your love to nobody but me babe
you say you never gonna give your love to nobody but me babe

G              F
so love me Forever . . .",188,Intermediário
8,All In One,"{'Dm7', 'F', 'C', 'G7', 'Am', 'G'}","intro: C  F  C  F  C 
 
F           C  F  C 
Bend down low 
       F               C        F  C 
Let me tell you what I know now 
F           C  F  C  
Bend down low 
       F               C                       F  
Let me tell you what I know {what I know, what I know} 
C     Am  Dm7   G7     C 
Long time we no have no nice time 
    Am              Dm7    G7    C 
Do you-do-you-do-ya think about that 
                       Am   Dm7    G7    C  
Long, long, long, long time we no have no nice time 
    Am              Dm7    G7    C 
Do you-do-you-do-ya think about that {ooo} 
         G 
One love, one heart 
F           C           G      C  
Let's get together and feel alright 
                      G 
One love {hear my plea} one heart 
     F                         C 
Give thanks and praise to the lord 
          G      C  
And I'll feel alright 
 
Simmer down 
   F            G  
You licken too hot so 
C 
Simmer down 
   F             G 
Soon you'll get dropped so 
C 
Simmer down 
        F            G 
Man you hear what I say 
C                      Am G C  
After he, brakes your heart 
 
Then you'll be sad, so sad 
               F    C     G 
And then your teardrops start 
                 F              G 
{I say you'll} Then you'll know how 
    C    G       C   
It hurts to be alone 
            F      G       C                    
Oh, what a feeling to be blue 
                 F            G    
Oh what a feeling, oh what a feeling 
C          F       G     C   
Oh what a feeling to be blue 
C  F  G  F 
 
C               F  G 
Feel that spirit.. 
F          C        F  G  F 
I'm gonna put it on.. 
C               F  G  
Feel that spirit.. 
F          C        F  G  F 
I'm gonna put it on.. 
C        F    G  F          
Yes my friend,  
               C         F  G  F 
Please set me free now yeah.. 
C        F    G  F  
Yes my friend 
          C         F  G  F               
Turn me loose now yeah..",25376,Básico
9,Am-A-Do,"{'F', 'Em', 'C', 'C7', 'Am', 'G'}","
C   C7
Am do ui 
You got to pay your dues ui 
I´m do baby ui 
And im a do you too ui   (one more time) 
  
(hey woman) 
  F   Em 
You´ve got your love 
And i got mine 
And then we put then together 
Cause they gonna work so fine 
  Em 
Still i got the woman i got you on my mind 
  
  Am 
And i´ve got together with you 
And i´ve got to do it with you again(got to say) 
  
  C   C7 
Do it with your back self 3x 
(Thank you woman) 
      Am       G     :   C 
Cause every man needs a woman 
Every woman, every woman needs a man 
  F   Em     
Closer together they would be 
Cheering the world so free 
And love will fall apart 
You´re still in my... 
  Em 
Still i´ve got the woman i´ve got it on my own 
  
And i´ve got to do it with you 
And i´ve got to do it with you again(got to say) 
  
Do it with your back self 3x 
  
Every man needs a woman 
Every woman, needs a man 
Closer together they would be 
Cheering the world so free 
And love will fall apart 
You´re still in my... ",19315,Básico
