,title,chords,lyric,views,difficulty
0,"""Vamo"" Comer","{'A', 'D7', 'E7', 'G'}","De: Caetano Veloso & Toni Costa
Gravação: Caetano Veloso & Luis Melodia
 
A  
Vamos comer
             E7 
Vamos comer feijão
 
Vamos comer 
              A 
Vamos comer farinha
 
Se tiver 
              E7          A
Se não tiver então ô ô ô ô 

A
Vamos comer 
             E7
Vamos comer faisão 

Vamos comer 
               A
Vamos comer tempura 

Se tiver 
               E7       
Se não tiver então
        G  
ô ô ô ô ô
 
                       D7    
Eu não sou deputado baiano
          G                 D7  
E, como dizia o outro, não sou de reclamar
         G                       G 
Mas se estamos nesse cano não consigo me calar 

      G         D7
É um papo de pelicano romântico 
  G                 D7          
Aberto pro bico de quem alcançar 
G
Quem quiser ver
  D7          G
Quem quiser ouvir
              D7
Quem quiser falar

A 
Vamos comer 
              E7
Vamos comer, João
 
Vamos comer
               A
Vamos comer, Maria
 
Se tiver
               E7         G
Se não tiver então  ô ô ô ô 

Vamos comer
               E7 
Vamos comer canção
      
Vamos comer
               A 
Vamos comer poesia
 
Se tiver
               E7        G
Se não tiver então ô ô ô ô

               D7
O padre na televisão
                         G          D7
Diz que é contra a legalização do aborto
       G              D7
E a favor da pena de morte
          G                    D7
Eu disse: não! que pensamento torto!
 
         G              D7
E a pretexto de aids, aids
                   G 
Nunca se falou de sexo 
             D7
Com tanta franqueza e confiança
      G             D7               G
Mas é bom saber o que dizer e o que não dizer,
     D7               A    
Na frente das crianças

 
Merci beaucoup 
                 E7 
Merci beaucoup, Bahia 

Arigatô
            A 
Arigatô, Jamaica
 
E Trinidad
               E7        A
E Trinidad-Tobago  ô ô ô ô

 
Brigado Cuba 
              E7
Thank you, Martinica
 
E Suriname 
               A
Belém do Grão-Pará
 
Y gracias, Puerto 
                E7          G 
Gracias Puerto Rico   ô ô ô ô

              D7             G          D7
Baiano burro nasce, cresce e nunca pára no sinal 
        G               D7
E quem pára e espera o verde 
          G          D7
É que é chamado de boçal
 
       G                D7
Quando é que em vez de rico ou polícia 
      G               D7   
Ou mendigo ou pivete serei cidadão 
        G                    D7              G
E quem vai equacionar as pressões do PT, da UDR 
                 D7               A
E fazer dessa vergonha uma nação
 

vamos comer 

vamos comer...... 
      ",39631,Básico
1,A Bossa Nova,"{'A7', 'C', 'A#', 'G7M', 'Am6', 'G', 'Em', 'Am', 'F', 'Bb7(9)', 'D7(9)', 'F#', 'F7M', 'D#7M', 'A7M', 'G#7M'}","Intro

E|---------------------------|
B|---------------------------|
G|---------------------------|
D|-------5------5------5-----|
A|----7------7------7--------|
E|---------------------------|

Em                                            Am
O  bruxo de Juazeiro numa caverna do louro francês
Em              F#       F     Em
Quem terá tido essa fazenda de areais
                                               Am
Fitas cassete, uma ergométrica, os restos de rabada
Em                        F#           F         Em
Lá fora o mundo ainda se torce para encarar a equação
           C             A7
Pura invenção, dança da moda
    Em
A bossa nova é foda

Em                                                       Am
O magno instrumento grego antigo diz que quando chegares aqui
Em                             F#   F                   Em
Que o dom que muito homem não tem tem a influência do jazz
                                               Am
E tanto faz se o bardo judeu romântico de minnesota
Em                   F#       F         Em
Porque Eumeu o reconhece de volta a Ítaca
         C                     A7
A nossa vida nunca mais será igual
          G           A#                D#7M            G#7M        A7
Samba de roda, neo carnaval, rio São Francisco, Rio de Janeiro, canavial
Em
A bossa nova é foda

A7M                               Am6
O tom de tudo comanda as ondas do mar
G7M                                 F#
Ondas sonoras com que colorem o espacial
F7M            Bb7(9)       Am              D7(9)
Homem cruel, destruidor, de brilho intenso, monumental

Em                                               Am
Deu ao poeta, velho profeta, a chave da casa de munição
Em                   F#           F     Em
O velho transformou o mito das raças tristes
        C               A7              G             A#              D#7M
Em Minotauros, Júnior Ciganos, em José Aldo, Lyoto Machida, Victor Belfort
         G#7M             A7
Anderson Silva e a coisa toda
                Em
A bossa nova é foda

Em    F#  F  Em
Ahhhhhhhhhhhhhhh
               Em
A bossa nova é foda",59112,Intermediário
2,A Cor Amarela,"{'G7+', 'C', 'Dm7', 'B7(b9)', 'F#m7', 'Em7/9', 'B7', 'Bm7', 'D7/9', 'G7', 'Em7'}","(intro)  Em7/9

Em7/9
      Uma menina preta
                   D7/9
De biquíni amarelo
                  Em7/9
Na frente da onda

Que onda
Que onda
Que onda
     D7/9
Que dá
Que bunda
          Em7/9
Que bunda
Que onda
Que onda
Que onda
     D7/9
Que dá
Que bunda
Que bunda

(refrão)
G7+
    É o melhor
                    F#m7
Que podia acontecer
B7(b9)
      À cor amarela
Em7                                   F#m7
    Destacar-se entre o mar e o marrom
B7(b9)
   Da pele tesa dela
Em7
   O sol já têm muito
         Dm7
O que fazer
    G7        C
Na minha vida
    B7
Querida
Bm7
Quem é você?",22777,Básico
3,A Filha da Chiquita Bacana,"{'C', 'E7', 'C7', 'F', 'Am', 'Ab', 'Fm', 'F#º', 'G7', 'Dm', 'C#º'}","C
 

  C   C#º    Dm            G7             C            Ab G7 
Laia laia la laia laia, la laia laia laia la (la laia la) 
 C    C#º      Dm         G7            C 
Laia laia la laia laia, la laia laia laia 
    F      C              F     C 
Eu sou a filha da Chiquita bacana 
        Ab      G7              C7           F 
Nunca entro em cana porque sou família demais... 
            C    F                       C      F 
Puxei à mamãe ...     , não caio em armadilha ... 
              C            Ab     G7   C 
E distribuo banana com os  a    ni  mais 
            E7                      F 
Na minha ilha, iê, iê, iê que maravilha, iê, iê, iê 
           G7                 C 
Eu transo todas sem perder o 
                         E7                                  F          F#º 
E a quadrilha toda grita iê, iê, iê Viva a filha da Chiquita iê, iê, iê 
              C        Am  Ab  G7     C 
Entrei pra ""Women's Libe   ra   tion Front"" 
C   C#º  Dm             G7                C            Ab G7 
Laia laia la laia laia, la laia laia laia la (la laia la) 
   C     C#º   Dm          G7                                       F      Fm       C 
Laia laia la laia laia, la         la         ia        la   ia la   ia      ....        ...",57611,Básico
4,A Little More Blue,"{'C', 'D9', 'G', 'C/B', 'D/F#', 'Am7', 'F7M', 'Bb7M', 'Bb', 'C#', 'Bbm6'}","C  C/B  Bbm6 
One day I had to leave my country
G  D/F#  F7M
Calm beach and palm tree
C  C/B  Bbm6 
That day I couldn't even cry
G  D/F#  F7M
And I forgot that outside there would be other men
C          Bb7M          Am7           D9
But today, but today, but today, I don't know why
G                    C     Bb  C  C#
I feel a little more blue than then
G                    C     Bb  C  G
I feel a little more blue than then
G                    C     Bb  C  C#
I feel a little more blue than then
                   C     Bb  C   G
I feel a little more blue than then

C  C/B  Bbm6 
The day carmen miranda died
G  D/F#  F7M
They put a photograph in the magazine
C  C/B  Bbm6 
Her dead mouth with red lipstick smiled
G  D/F#  F7M
And people cried, I was about ten
C          Bb7M          Am7           D9
But today, but today, but today, I don't know why
G                    C     Bb  C  C#
I feel a little more blue than then
G                    C     Bb  C  G
I feel a little more blue than then
G                    C     Bb  C  C#
I feel a little more blue than then
                   C     Bb  C   G
I feel a little more blue than then

C  C/B  Bbm6 
One morning they came around to take to jail
G  D/F#  F7M
I smiled at them and said - all right
C  C/B  Bbm6 
But alone in that same day's nigth
G  D/F#  F7M
I cried and cried again
C          Bb7M          Am7           D9
But today, but today, but today, I don't know why
G                    C     Bb  C  C#
I feel a little more blue than then
G                    C     Bb  C  G
I feel a little more blue than then
G                    C     Bb  C  C#
I feel a little more blue than then
                   C     Bb  C   G
I feel a little more blue than then

C  C/B  Bbm6 
One night I saw a mexican film
G  D/F#  F7M
These twin brothers tryed to kill each other
C  C/B  Bbm6 
She opened her arms and got two bullets
G  D/F#  F7M
And died sweetly without a sigh
C          Bb7M          Am7           D9
But tonight, but tonight, but tonight, I don't know why
G                    C     Bb  C  C#
I feel a little more blue than then
G                    C     Bb  C  G
I feel a little more blue than then
G                    C     Bb  C  C#
I feel a little more blue than then
                   C     Bb  C   G
I feel a little more blue than then

C  C/B  Bbm6 
One day I went down to the underground but
G  D/F#  F7M
I missed the last train
C  C/B  Bbm6 
And now that I'm just looking around
G  D/F#  F7M
I feel a little more blue than then
C          Bb7M          Am7           D9
Looking around, Look around, Look around, I don't know why
G                    C     Bb  C  C#
I feel a little more blue than then
G                    C     Bb  C  G
I feel a little more blue than then
G                    C     Bb  C  C#
I feel a little more blue than then
                   C     Bb  C   G
I feel a little more blue than then",2411,
5,A Luz de Tieta,"{'Cm7', 'Bb9', 'Cm', 'Bb7', 'Am', 'Ab', 'G7'}","[Riff do Refrão]

E|------------------------------------------|
B|------------------------------------------|
G|------------------------------------------|
D|-5------5-3-5-3-5-3-----------------------|
A|---6--------------------------------------|
E|------------------------------------------|

E|------------------------------------------|
B|------------------------------------------|
G|------------------------------------------|
D|-8-6-8-6-8-6---8-6-8-6-8---5-5-6-5-6-5----|
A|------------------------------------------|
E|------------------------------------------|


 Cm7
Todo dia é o mesmo dia
                Bb7
A vida é tão tacanha
                 Cm
Nada novo sob o sol
 Cm
Tem que se esconder no escuro
                Bb7
Quem na luz se banha
                   Cm
Por debaixo do lençol
 Cm
Nessa terra a dor é grande
                Bb7
E a ambição pequena
                Cm
Carnaval e futebol
  Cm
Quem não finge
  Cm
Quem não mente
                  Bb7
Quem mais goza e pena
                  Am
É que serve de farol

                  G7
Existe alguém em nós
                  Am
Em muitos dentre nós esse alguém
                     G7
Que brilha mais do que milhões de sóis
G7
E que a escuridão
      Am
Conhece também
                 G7
Existe alguém aqui
                     Am
Fundo no fundo de você, de mim
                 G7
Que grita para quem quiser ouvir
  G7
Quando canta assim

 Cm
Toda noite é a mesma noite
                 Bb7
A vida é tão estreita
                 Cm
Nada de novo ao luar
 Cm
Todo mundo quer saber
                  Bb7
Com quem você se deita
                 Cm
Nada pode prosperar
Cm
É domingo , é fevereiro
             Bb7
É sete de setembro
              Cm
Futebol e carnaval
 Cm
Nada muda, é tudo escuro
                Bb7
Até onde eu me lembro
                    Am
Uma dor é sempre igual

                  G7
Existe alguém em nós
                  Am
Em muitos dentre nós esse alguém
                     G7
Que brilha mais do que milhões de sóis
G7
E que a escuridão
         Am
Conhece também
                 G7
Existe alguém aqui
                     Am
Fundo no fundo de você, de mim
                 G7
Que grita para quem quiser ouvir
  G7
Quando canta assim

Cm
Eta
Bb9
Eta, eta, eta
Ab
É a lua, é o sol
             G7
É a luz de Tieta, eta, eta
Cm
Eta
Bb9
Eta, eta, eta
Ab
É a lua, é o sol
             G7
É a luz de Tieta, eta, eta

 Cm7
Todo dia é o mesmo dia
                Bb7
A vida é tão tacanha
                 Cm
Nada novo sob o sol
 Cm
Tem que se esconder no escuro
                Bb7
Quem na luz se banha
                   Cm
Por debaixo do lençol
 Cm
Nessa terra a dor é grande
                Bb7
E a ambição pequena
                Cm
Carnaval e futebol
  Cm
Quem não finge
  Cm
Quem não mente
                  Bb7
Quem mais goza e pena
                  Am
É que serve de farol

                  G7
Existe alguém em nós
                  Am
Em muitos dentre nós esse alguém
                     G7
Que brilha mais do que milhões de sóis
G7
E que a escuridão
         Am
Conhece também
                 G7
Existe alguém aqui
                   Am
Fundo no fundo de você, de mim
                 G7
Que grita para quem quiser ouvir
  G7
Quando canta assim

 Cm
Toda noite é a mesma noite
                 Bb7
A vida é tão estreita
                 Cm
Nada de novo ao luar
 Cm
Todo mundo quer saber
                  Bb7
Com quem você se deita
                 Cm
Nada pode prosperar
Cm
É domingo , é fevereiro
             Bb7
É sete de setembro
                Cm
Futebol e carnaval
 Cm
Nada muda, é tudo escuro
                Bb7
Até onde eu me lembro
                    Am
Uma dor é sempre igual

                  G7
Existe alguém em nós
                  Am
Em muitos dentre nós esse alguém
                     G7
Que brilha mais do que milhões de sóis
G7
E que a escuridão
         Am
Conhece também
                 G7
Existe alguém aqui
                     Am
Fundo no fundo de você, de mim
                 G7
Que grita para quem quiser ouvir
  G7
Quando canta assim

Cm
Eta
Bb9
Eta, eta, eta
Ab
É a lua, é o sol
             G7
É a luz de Tieta, eta, eta
Cm
Eta
Bb9
Eta, eta, eta
Ab
É a lua, é o sol
             G7
É a luz de Tieta, eta, eta",291123,Básico
6,A Outra Banda da Terra,"{'F7+', 'Bb7/9', 'Fm6', 'Eb7+/9', 'Fm7', 'D/E', 'Ab7+', 'Dm7/5-', 'C7+/9', 'A7/9-', 'C/D', 'C7/9-', 'G7/5+', 'G7', 'Gm7', 'Em7'}","[Intro]  C7+/9  Fm7  C7+/9  Fm7
         C7+/9  Fm7  C7+/9  Fm7

C7+/9
Amar
Fm7 Bb7/9
Dar tudo
Eb7+/9   Ab7+
 Não ter medo
   Dm7/5- G7
Tocar
   C7+/9
Cantar
Fm7 Bb7/9
No  mundo
Eb7+/9  Ab7+
  Pôr o dedo
   Dm7/5- G7
No lá
   Gm7 C7/9-
Lugar
  F7+ Fm6
Ligar gente
   Em7 A7/9-
Lançar sentido
C/D
Onda branda da guerra
D/E
Beira do ar
C/D
Serra vale mar
                         D/E
Nossa banda da terra é outra
C/D
E não erra quem anda
D/E
Nessa terra da banda
C/D                    G7/5+
Face oculta azul do araçá
  C7+/9 Fm7  Bb7/9
Falar   ver..dade
Eb7+/9   Ab7+
  Ter vontade
   Dm7/5- G7
Topar
C7+/9       Fm7 Bb7/9
     Entrar na  vida
Eb7+/9 Ab7+
 Com a música
  Dm7/5- G7
Obá
  Gm7 C7/9-
Olá
   F7+
Brasil
    Fm6    Em7
Mas quem pariu
A7/9-      C/D
Tal gente Cantuária e Holanda
D/E
Maputo Rio
C/D
Luanda lua
               D/E
Nossa banda da terra é outra
C/D
canadá Jamaicuba
D/E
Muitas gatas na tuba
C/D                   G7/5+
Dos rapazes da banda cá
  C7+/9
Gozar
Fm7 Bb7/9
A   lida
Eb7+/9   Ab7+ Dm7/5- G7
Indefi...nidamen......te
 C7+/9
Amar",25866,Intermediário
7,A Rita,"{'A7', 'B7(9)', 'Dm7', 'C#m6', 'B7', 'D/E', 'Bm7', 'F#7', 'Dm6', 'C#m7', 'D6', 'A/B', 'A7M', 'D7M', 'A6', 'F#7(13-)', 'E7(9)', 'Em7'}","         Bm7            E7(9)             A7M
A rita levou meu sorriso     no sorriso dela meu assunto
A6                 Em7                        A7
  Levou junto com ela e o que me é de direito  
                  D7M
Arrancou-me do peito e tem mais
D6               Dm7                 Dm6         C#m7
  Levou seu retrato, seu trapo, seu prato que papel!
    F#7                  A/B           B7(9)        D/E 
Uma imagem de são francisco e um bom disco de noel

E7(9)            Bm7                E7(9)            A7M
     A rita matou   nosso amor de vingança nem herança deixou
A6                   Em7                    A7                    D7M
  Não levou um tostão   porque não tinha não  mas causou perdas e danos
D6                 Dm7              Dm6                   C#m6
  Levou os meus planos meus pobres enganos os meus vinte anos 
             F#7(13-)            B7       E7(9)            A6
O meu coração        e além de tudo me deixou mudo um violão",7663,
8,A Rã,"{'E7(b13)', 'Db7', 'G7(13)', 'G7(13-)', 'Dm7(9)', 'Em7', 'E7(13)', 'F7(13-)', 'Abm6', 'E7(13-)', 'Dm7', 'C7(9-)', 'Abm7', 'G7(9/13)', 'Gm7', 'D7(13)', 'Ab7M', 'F7(13)', 'A7(9-)', 'Fm6', 'Fm7', 'D7(13-)', 'Bb7(13)', 'C7M', 'F7M', 'A7M'}","[Intro] Dm7(9)

[Primeira Parte]

         Dm7(9)
Coro de cor
           G7(9/13)
Sombra de som, de cor
               Dm7(9)
De mal me quer
            G7(9/13)
De mal me quer, de bem
           Dm7(9)
De bem me diz
         G7(9/13)
De me dizendo assim
         Dm7(9)
Serei feliz
         G7(9/13)
Serei feliz de flor
             Dm7(9)
De flor em flor
             G7(9/13)
De samba em samba, em som
          Dm7(9)
De vai e vem
           G7(9/13)
De verde, ver, de ver
         Fm7
Pé de capim
         Bb7(13)
Bico de pena, pio
           E7(13)  E7(b13)
De bem-te-vi
       Em7   A7(9-)
Amanhecendo sim
          F7M
Perto de mim
           Fm6
Perto da claridade
       E7(13)  E7(13-)
Da manhã
            Em7   A7(9-)
A grama, a lama, tudo
           D7(13)  D7(13-)
É minha irmã
           Dm7     G7(9/13)
A rama, o sapo, o salto
        A7M
De uma rã

[Segunda Parte]

Dm7(9)
       Coro de cor
           G7(9/13)
Sombra de som, de cor, de cor
            Dm7(9)
De mal me quer
            G7(9/13)
De mal me quer, de bem
           Dm7(9)
De bem me diz
         G7(9/13)
De me dizendo assim
       Dm7(9)
Serei feliz
         G7(9/13)
Serei feliz de flor
             Dm7(9)
De flor em flor
                       G7(9/13)
De samba em samba, em samba, em som
          Dm7(9)
De vai e vem
           G7(9/13)
De verde, ver, de ver
         Fm7
Pé de capim
         Bb7(13)
Bico de pena, pio
           E7(13)  E7(b13)
De bem-te-vi
       Em7   A7(9-)
Amanhecendo sim
          F7M
Perto de mim
           Fm6
Perto da claridade
       E7(13)  E7(13-)
Da manhã
            Em7   A7(9-)
A grama, a lama, tudo

[Terceira Parte]

           Fm7
É minha irmã
             Bb7(13)
De samba em samba, em som
          Fm7
De vai e vem
           Bb7(13)
De verde, ver, de ver
         Abm7
Pé de capim
         Db7
Bico de pena, pio
           G7(13)  G7(13-)
De bem-te-vi
       Gm7   C7(9-)
Amanhecendo sim
          Ab7M
Perto de mim
           Abm6
Perto da claridade
       G7(13)  G7(13-)
Da manhã
            Gm7   C7(9-)
A grama, a lama, tudo
           F7(13)  
É minha irmã
   F7(13-)  Fm7     Bb7(13)
A rama, o  sapo, o salto
        C7M
De uma rã",48821,Intermediário
9,A Terceira Margem do Rio,"{'Bm7/4', 'Cm7/4', 'Dm7/9', 'D7(9/4)', 'C9/D', 'F#m7/4', 'Gm7', 'Am7/4', 'Eb', 'Em7/4', 'D7/4(9/13)'}","Gm7                 Dm7/9 
Oco de pau que diz: 

Eu sou madeira, beira 
Gm7                   Dm7/9 
Boa, dá vau, triztriz 

Risca certeira 
Gm7                  Dm7/9 
Meio a meio o rio ri 

Silencioso, sério 
Gm7                    Dm7/9 
Nosso pai não diz, diz: 

Risca terceira 

Eb 
Água da palavra 
Am7/4  F#m7/4 Em7/4 
Água calada,  pura 
Eb 
Água da palavra 
Am7/4   Bm7/4 Am7/4 
Água de rosa  dura 
Eb 
Proa da palavra 
Am7/4  F#m7/4  Em7/4 C9/D   D7/4(9/13)  D7(9/4) 
Duro silêncio, nosso pai 

Eb 
Margem da palavra 
Am7/4      F#m7/4 Em7/4 
Entre as escuras  duas 
Eb 
Margens da palavra 
Am7/4     Bm7/4 Am7/4 
Clareira, luz madura 
Eb 
Rosa da palavra 
Am7/4  F#m7/4  Em7/4 C9/D   D7/4(9/13)  D7(9/4) 
Puro silêncio, nosso pai 

Gm7                  Dm7/9 
Meio a meio o rio ri 
                        Gm7 
Por entre as árvores da vida 
             Dm7/9 
O rio riu, ri 
                     Gm7 
Por sob a risca da canoa 
              Dm7/9 
O rio viu, vi 
                       Gm7 
O que ninguém jamais olvida 
                Dm7/9 
Ouvi, ouvi, ouvi 

A voz das águas 

Eb 
Asa da palavra 
Am7/4 F#m7/4 Em7/4 
Asa parada  agora 
Eb 
Casa da palavra 
Am7/4    Bm7/4  Am7/4 
Onde o silêncio mora 
Eb 
Brasa da palavra 
Am7/4  F#m7/4 Em7/4 C9/D   D7/4(9/13)  D7(9/4) 
A hora clara, nosso pai 

Eb 
Hora da palavra 
Am7/4      Cm7/4  Bm7/4 
Quando não se diz nada 
Eb 
Fora da palavra 
Am7/4       Bm7/4   Am7/4 
Quando mais dentro aflora 
Eb 
Tora da palavra 
Cm7/4     Bm7/4  Am7/4 C9/D   D7/4(9/13)  D7(9/4) 
Rio, pau enorme, nosso pai",29104,Intermediário
